,label,sent1,sent2,ending0,ending1,ending2,ending3,ending4
3950,4,"The cubicles felt like their own little rooms, you could hardly even see over the what?",rooms,A. square shape,B. doors and windows,C. apartment,D. border,E. high walls
3951,1,What would cause someone to have to re illustrate point?,illustrate point,A. teacher,B. did not understand,C. agree with,D. understanding,E. understood
3952,1,What would someone be if he or she reports the use of a sharp object where the use of sharp objects is not allowed?,sharp,A. unobservant,B. above board,C. dull,D. criminal,E. inaccurate
3953,2,"Two friends lived in different countries, how did they frequently communicate?",friends,A. wedding,B. fraternity house,C. internet cafe,D. smoke signals,E. movie
3954,1,What could you do inside but not outside if you have boredom?,boredom,A. skateboard,B. hang out at bar,C. laugh,D. go skiing,E. watch film
3955,0,What will a unscrupulous real estate agent to make a listing seem more attractive?,real estate agent,A. lie,B. exaggerate,C. charming,D. deceive,E. hire a band
3956,3,"If you see a fox in Fargo, what state are you in?",fox,A. west virginia,B. arkansas,C. new hampshire,D. north dakota,E. england
3957,4,Where might I place the lamp so it will help me see better while I do my homework?,lamp,A. nearby,B. table,C. house,D. building,E. desktop
3958,4,"When doing housework, what would be most useful to clean the patio?",doing housework,A. mop,B. mobility,C. vacuuming,D. toothbrush,E. broom
3959,3,how might someone get injured when driving a car?,driving car,A. getting somewhere,B. go somewhere,C. stoplight,D. car crash,E. pollution
3960,4,Where are fish from salt water happiest?,fish,A. river,B. boat,C. aquarium,D. brackish,E. ocean
3961,4,"The doctor noticed the nerve and suggested a scan of everything, what would be scanned?",nerve,A. brainstem,B. skeleton,C. organism,D. animal,E. human body
3962,2,What areas does a cat tend to seek out?,cat,A. the place i don't want it,B. relaxed position,C. soft place,D. barn,E. urban settlement
3963,1,Something that people do when they are sneezing a lot and have a runny nose?,sneeze,A. inhale,B. blow nose,C. close eyes,D. cover face,E. spray
3964,2,Where are not many people allowed to go?,people,A. street corner,B. supermarket,C. space shuttle,D. an airport,E. public place
3965,2,What is a facial sign of having fun?,having fun,A. laughter,B. pleasure,C. smiling,D. being happy,E. showing teeth
3966,1,"She was a human in America who wanted to live well, what was a given for her situation?",human,A. think critically,B. need money,C. say hello,D. think critically,E. drink tea
3967,0,Where does a potato enlarge?,potato,A. garden patch,B. ireland,C. vegetable stew,D. grocery store,E. optical device
3968,4,John went into the front garden of his palatial mansion.  Where might his mansion be located?,front garden,A. sunny yard,B. urban area,C. front yard,D. outside of house,E. michigan
3969,4,"Simon asked his father to read him a story.  His father couldn't find Simon's book, so looked everywhere for it. Where might it be?",story,A. eat cake,B. end badly,C. communicating moral,D. near end,E. floor
3970,0,Where are leaving in order to go to a spa?,spa,A. house,B. hotel,C. country club,D. health centre,E. backyard
3971,2,"John and Sarah refused to talk.  They were part of a contest, and they'd lose if they stopped what?",talk,A. produce sounds,B. shut up,C. being quiet,D. silence,E. ocean
3972,3,What do you wear on the bridge of your nose?,bridge,A. scar,B. tunnel,C. transportation system,D. spectacles,E. stringed instrument
3973,2,What can seeing artifacts cause if you have already seen them many times before?,seeing artifacts,A. frightened,B. painful memories,C. pleasure,D. learning,E. thinking
3974,4,"He had only experienced tangible and corporeal events in his life, but the hippy girl opened up his what side?",corporeal,A. insubstantial,B. mind,C. intangible,D. ethereal,E. spiritual
3975,2,"He had won big, it was time to cash in and get some bubbly and do what?",cash in,A. invest,B. party,C. celebrate,D. happiness,E. get money
3976,4,A person who is well off has the simplest of luxuries that they can just do what?,person,A. perfect world,B. be a snob,C. headache,D. eat well,E. live comfortably
3977,3,"As the fire raged she frantically looked for a door, what did she want to do?",door,A. theater,B. window,C. opening,D. exit,E. apartment
3978,3,"If I run a long time, I run the risk of what?",run,A. marathon,B. may fall,C. fall down,D. exhaustion,E. sweat
3979,1,What is a large group of human beings?,human,A. an infestation,B. civilisation,C. homes,D. graveyard,E. spacecraft
3980,4,"They were baking together, the instructions called for sugar so they got it out of the what?",sugar,A. hallway,B. every home,C. candy bar,D. soda pop,E. cupboard
3981,4,"There was a surplus of condos due to the overuse of space in the area, where were the condos located?",condo,A. central park,B. milwaukee,C. city,D. vacation spot,E. suburbia
3982,3,Where would you buy a disk with software on it?,disk,A. computer hard drive,B. computer to store data,C. cd player,D. computer store,E. electronic department
3983,4,"Polly didn't know her way around, so she navigated by landmark.  She used statues, stores, and distinctive building.  Where might she be?",landmark,A. countryside,B. national park,C. map,D. neighbourhood,E. city
3984,3,"If I am playing a xylophone with a large, professional ensemble, what am I a member of?",xylophone,A. museum,B. abc book,C. planet,D. orchestra,E. high school band
3985,1,Where might a person store pamphlets?,pamphlets,A. health department,B. drawer,C. bookstore,D. library,E. desk
3986,1,Where could you see a sloth that is not real?,sloth,A. bad dream,B. picture book,C. another place,D. universe,E. zoo
3987,1,Where might there be lots of different lawns?,lawn,A. united states,B. north america,C. michigan,D. golf course,E. the park
3988,2,Where do employees spend most of their time working?,employees,A. toilet,B. corporation,C. office,D. meeting,E. company
3989,2,"If I am contemplating a different opinions, what am I hoping to gain?",contemplating,A. revelations,B. frustation,C. new insights,D. hesitation,E. enlightenment
3990,1,What is someone likely to feel after the act of procreating?,procreating,A. exhaustion,B. feeling good,C. having children,D. overpopulation,E. hair loss
3991,3,Where might you find dirt on a place you would see a gutter and rubber hit it regularly?,dirt,A. race track,B. bed,C. ground,D. street,E. subway
3992,0,What happens to the person that is well known for frequent farting?,farting,A. social ostracism,B. evil,C. loud noise,D. bad smell,E. stinking
3993,0,"Sam thought that it was beautiful outside, even though it was what?",beautiful,A. rainy,B. repulsive,C. unbeautiful,D. horrible,E. bad
3994,4,"He was learning about the use of color and all their tints, and even how to use what technique?",color,A. black white,B. old timey,C. white black,D. dark,E. monochromatic
3995,4,Where do airplanes usually go?,airplanes,A. war,B. aircraft carrier,C. crash,D. taxi,E. sky
3996,3,When would there be someone sitting on a chair that you cannot see?,chair,A. office,B. auditorium,C. circus,D. confession,E. synagogue
3997,1,What is covered in plants?,plants,A. greenhouse,B. surface of earth,C. television,D. windowsill,E. garden
3998,4,What can someone do after going to bed?,going to bed,A. pregnancy,B. drowsiness,C. insomnia,D. make a sandwich,E. sleeping in
3999,3,Where is a cow likely to be happy at night?,cow,A. countryside,B. slaughter house,C. barnyard,D. stable,E. grocery store
4000,2,Where is a soldier likely to fight from?,soldier,A. armored car,B. platoon,C. trenches,D. tent,E. battlefield
4001,0,What is a health benefit of jumping rope?,jumping rope,A. increased heart rate,B. get weight,C. having fun,D. sweating,E. hopping
4002,0,How would an artist create a fox?,fox,A. painting,B. england,C. wooded areas,D. ask them first,E. chicken coop
4003,2,Where is lint unlikely to be?,lint,A. rug,B. laundromat,C. purse,D. dryer,E. pocket
4004,2,What is something that you eat that has a heel?,heel,A. foot,B. sandal,C. loaf of bread,D. shoe,E. boot
4005,3,"When one sees an apple tree, where does one tend to be?",apple tree,A. canada,B. spring,C. active,D. outside,E. washington state
4006,1,"The showroom had  variety of automobiles, where was this showroom located?",showroom,A. city,B. car dealership,C. bathroom,D. appliance store,E. vegas
4007,1,Bill saw a wild animal some place where he never expected to see one.  What might that place have been?,animal,A. zoo,B. cafe,C. park,D. outside,E. woodland
4008,4,"The plates needed to be stored in their proper place, which was where?",plates,A. ironing board,B. restaurant,C. table,D. stomach,E. shelf
4009,1,Where do nurses work with one doctor?,nurse,A. resuscitate,B. doctor's office,C. hospital,D. reception,E. nursing home
4010,2,What do you get when procreating goes awry?,procreating,A. population increase,B. added responsibilities,C. quintuplets,D. multiples,E. large family
4011,3,"The mail fell out of my box and scattered in the win, where did it land?",mail,A. mailcatcher,B. post office,C. usps,D. neighbor's house,E. table
4012,4,The cat was wild but like all others he was always read for a cat what?,cat,A. stealing,B. four legs,C. tuna fish,D. food now,E. nap
4013,2,Where would you find a monitor wall that is used for watching moving lines?,monitor wall,A. studios,B. security office,C. hospital,D. department store,E. guard station
4014,1,Jim's grass didn't get any sunlight because he parked his car over it.  The grass began to do what?,grass,A. continue to grow,B. turn brown,C. changes color with seasons,D. dry,E. burn
4015,2,What happens when a child reads something?,child,A. balloon,B. become adult,C. learn,D. clean room,E. loved
4016,1,"Residents though the city should manage garbage waste, so what did the city create to handle it?",garbage waste,A. garbage can,B. garbage dump,C. sewer,D. street,E. gutter
4017,2,Where did the monkey chase the weasel?,monkey,A. in the clouds,B. banana tree,C. mulberry bush,D. research laboratory,E. sailor suit
4018,4,"A fertilizer is making a flower grow, what is likely to happen next?",making grow,A. more of,B. flowering,C. leaves,D. harvesting,E. blooms
4019,3,Where would you throw some pennies?,pennies,A. pocket,B. jar,C. worthless,D. water fountain,E. copper
4020,2,"The boy's mind was not right.  He couldn't care for himself, so he had to be what?",mind,A. play tricks on,B. form images,C. tended,D. michigan,E. mindblown
4021,3,Where might a ferret get tangled?,ferret,A. petting zoo,B. cage,C. own home,D. mother's hair,E. trouser leg
4022,2,Where would you find a telephone directory in public?,telephone directory,A. office,B. house,C. phone booth,D. kitchen,E. amusement park
4023,4,"A child is in a meadow in spring, what might the child do?",child,A. clean room,B. set table,C. play with toys,D. form opinions,E. gather flowers
4024,3,What would a cat want if it is not hungry but it is bored?,cat,A. fried chicken,B. nothing to do with,C. tuna fish,D. stroked,E. milk to drink
4025,2,"When a person has a meal or sips hot drinks while reading, what will happen?",person,A. catch cold,B. drink coffee,C. gain knowledge,D. feel fresh,E. eat dinner
4026,2,"If you wanted to grow an apple tree, you'd probably start where?",apple tree,A. washington state,B. math problem,C. garden center,D. coloring book,E. at the core
4027,1,"A detective tries to discover truth, some of the best results are from gathering witnesses and doing what?",discover truth,A. investigate,B. ask questions,C. search for,D. find facts,E. wonder
4028,3,Where might be a well manicured lawn?,lawn,A. ocean,B. michigan,C. north america,D. golf course,E. united states
4029,3,What would happen if you are expressing yourself and someone does not agree with you?,expressing yourself,A. repercussions,B. miscommunication,C. embarrassment,D. misunderstanding,E. empowerment
4030,1,Dan's job was talking phone calls.  That was his only job.  He didn't get to do what?,taking phone call,A. car accident,B. decisions,C. draw pictures,D. irritation,E. regret
4031,4,"The therapist told him he had to communicate his problems, he said to just be willing to do what?",communicate,A. write in code,B. listen,C. send email,D. talk to people,E. talk with people
4032,3,Where is a good place to set an attache case other than a desk?,attache case,A. business meeting,B. hospital,C. lawyer's office,D. chair,E. professional
4033,0,Where might baggage be searched?,baggage,A. airports,B. helicopter,C. cruise ship,D. train station,E. room
4034,0,Where is known for it's red suspension bridge?,bridge,A. california,B. over water,C. river valley,D. work shop,E. dental office
4035,0,WHat is another name for cat?,cat,A. feline,B. lazy,C. hungry,D. thirsty,E. four legs
4036,0,The stabbing to death of a person is likely to create what on the ground?,stabbing to death,A. pool of blood,B. being arrested,C. garden,D. imprisonment,E. gruesome
4037,1,What will telling many people about someone's escapades lead to?,telling many people about,A. annoyance,B. notoriety,C. emotional distress,D. religion,E. riot
4038,4,Sam experienced a great deal of confusion because of what he suffered. What might he have suffered?,confusion,A. class,B. quandry,C. opera,D. mind,E. war
4039,0,What colors are in the RBG model?,blue,A. red green,B. sky,C. rainbow,D. orange red,E. red yellow
4040,0,"If you're releasing energy with another person and you're both naked, what are you likely to be having?",releasing energy,A. sex,B. movement,C. exercising,D. swimming,E. sweat
4041,0,In order to wrestle better you lift weights to?,wrestle,A. have strength,B. strong,C. take lessons,D. fo brushing,E. get naked
4042,2,When kids jump up and down and run around laughing they are having what?,jumping up and down,A. exercise,B. evolveing,C. fun,D. headaches,E. broken
4043,4,What would you do to a television after you finish using television?,using television,A. entertainment,B. choosing,C. change channel,D. fall asleep,E. turning off
4044,1,What does someone do to win while competing?,competing,A. sweat,B. perform better,C. tension,D. winning or losing,E. win
4045,3,What does someone feel after running twenty six miles?,running twenty six miles,A. sore feet,B. death,C. twenty six,D. feel tired,E. short breath
4046,1,The insects were bigger this time.  They were exposed to a significant level of DDT. How were they exposed?,bigger,A. eating,B. accidental,C. enabled,D. effusive,E. detestable
4047,1,"The animals didn't have any sense of shame.  They just had sex by the water, and sometimes dipped in to do what?",animals,A. feel pain,B. bathe,C. die of cancer,D. copulate,E. attack
4048,1,If you're using your reaching advantage on a high cliff what should you be careful not to do?,reaching advantage,A. better negotiating position,B. fall,C. victory,D. being ahead,E. eat
4049,1,The entrance hall was adorned with sports and academic trophy cases and a big banner where?,entrance hall,A. college,B. school,C. large home,D. convention center,E. hat rack
4050,1,Many people have a mailbox where near the road?,mailbox,A. downtown area,B. front yard,C. porch,D. basement,E. hardware store
4051,0,"The man loved all sorts of puzzles, he would do crossword puzzle every morning to be what?",do crossword puzzle,A. mentally challenged,B. challenging,C. you're bored,D. pass time,E. brain exercise
4052,4,What drinking vessel can overflow if filled with too much water?,overflow,A. riverbed,B. sewer,C. drain,D. creek,E. glass
4053,1,Greed will cause a real estate agent to do what in order to sell a house?,greed,A. succeed,B. lie,C. cause business profits,D. buy food,E. get
4054,1,You'd want marine grade steel cable aboard your what?,steel cable,A. winch,B. ship,C. ground,D. construction site,E. suspension bridge
4055,1,What do people in love do after they get married?,love,A. last forever,B. reproduce,C. hurt,D. obstruct justice,E. get
4056,1,Where are adults likely to be paid to to sit at a desk?,desk,A. bathroom,B. office building,C. library,D. garage sale,E. schoolroom
4057,0,Why do people socialize when they first get a new job?,socialize,A. meet new people,B. make friends,C. small talk,D. get a raise,E. talk to people
4058,4,"What room, that doesn't normally have a side chair, helps you work from home?",side chair,A. bedroom,B. bathroom,C. building,D. table,E. office
4059,3,"People often have to take medicine, they tend to keep it where?",medicine,A. kitchen,B. doctor's office,C. hospital,D. bathroom,E. jar
4060,4,What type of location would you find fish for sale?,fish,A. refrigerator,B. ocean,C. pay debts,D. stream,E. market
4061,2,"The weasel had stolen the chicken eggs from the farm, it made it's escape through the tall what?",weasel,A. chicken coop,B. children's story,C. corn fields,D. animated film,E. chicken coop
4062,0,Smoking certain drugs will not have a desired effect without a proper what?,smoking,A. inhale,B. lighter,C. go outside,D. coughing,E. unhealthy
4063,4,"The passing sentence was one of guilty, now the defendant was cuffed and had to what?",passing sentence,A. innocents,B. anger,C. judgement,D. death,E. go to jail
4064,3,What could using a driving car help someone to be?,driving car,A. stop sign,B. car crash,C. pollution,D. on time,E. run out of gas
4065,2,What structure had to use a launching platform many times to escape the Earth's gravity?,launching platform,A. large open area,B. space,C. space station,D. aircraft carrier,E. circus
4066,0,Why would someone be driving a car?,driving car,A. transportation,B. to sleep,C. car crash,D. relaxation,E. stress
4067,3,What would happen immediately after drinking alcohol?,drinking alcohol,A. blackouts,B. get arrested,C. get pregnant,D. bad breath,E. sickness
4068,4,"After a winning baseball game, what experience would a team member feel?",winning baseball game,A. sensation,B. celebrating,C. happiness,D. recognition,E. pride
4069,1,"A kid is studying new words at home in the kitchen, where could a dictionary be?",dictionary,A. library,B. table,C. bookstore,D. shelf,E. classroom
4070,4,"The person isn't a dog person, but you can find the person how?",person,A. own house,B. loyal friends,C. dog biscuits,D. good review,E. with cat
4071,4,What might make a person smile?,person,A. headache,B. understand themselves,C. pain,D. own house,E. compliments
4072,1,If you exercise intensely what can happen to your respiration?,exercise,A. tiredness,B. shortness of breath,C. injury,D. fitness,E. thirst
4073,4,Where is a bird likely to feel free?,bird,A. forest,B. ocean,C. roof,D. nest,E. sky
4074,1,What might not returning to work cause?,returning to work,A. sobering,B. stress,C. loss of job,D. earn money,E. anxiety
4075,4,"The person used a candle to navigate up the spiral staircase, where were they likely?",candle,A. burn brightly,B. fire hazard,C. emit light,D. being in church,E. light house
4076,2,"The aggressive soldiers were getting drunk, what are they at they at risk of doing with the locals?",getting drunk,A. nausea,B. erections,C. fights,D. relaxation,E. procreation
4077,4,What meal do we often have corn on the cob with?,corn,A. breakfast,B. supermarket,C. shop,D. country,E. dinner
4078,3,What are the potential outcomes of playing ball?,playing ball,A. competition,B. injury,C. making a touchdown,D. losing,E. having fun
4079,3,Joe worked for the company for years.  He had connections and what?,company,A. own factory,B. ship goods,C. office,D. own resources,E. mail order
4080,4,What is the goal of working hard to achieve something?,working,A. concentration,B. complain,C. pay attention,D. focus,E. accomplishment
4081,4,John played a stringed instrument.  Billy was the singer.  James was the drummer.  Vince played the keyboard and piano.  What might they have been?,stringed instrument,A. string quartet,B. music store,C. bored,D. concert,E. rock band
4082,2,Who will be voted as the most likely to be successful?,most,A. bitterest,B. representative,C. cleverest,D. bunny rabbit,E. corrupt
4083,0,As he flipped through a yearbook he had fond memories of playing cornet in his what?,cornet,A. high school band,B. marching band,C. case,D. likes to day dream,E. museum
4084,3,"When people have guests over, what do they often do for their guests?",people,A. talk to each other,B. learn from each other,C. demand justice,D. cook food,E. share food
4085,2,What does a person use to smell things?,person,A. hair,B. do dishes,C. nose,D. headache,E. eat food to live
4086,2,Where are you likely to find a comforter in many beds?,comforter,A. livingroom,B. outside,C. world,D. babies mouth,E. cedar chest
4087,0,What public celebration sometimes has a horse show?,horse,A. state fair,B. indy 500,C. american southwest,D. canada,E. central park
4088,3,Marmot's don't uisually live in buildings.They're most likely to be found where?,marmot,A. tree,B. rocky hillside,C. park,D. outside,E. vancouver island
4089,1,Where does someone with a signature rubber stamp work?,rubber stamp,A. made,B. office,C. craft store,D. indiana,E. art class
4090,3,"The all star was still playing ball in the championship, he wasn't one hundred percent because of a what?",playing ball,A. having fun,B. pleasure,C. trauma,D. injury,E. throwing
4091,3,Other than women's leggings what is commonly made of nylon?,nylon,A. drawer,B. many products,C. stockings,D. rope,E. shoes
4092,2,Where do people go to shop for fruit?,shop,A. have money,B. get money,C. go to market,D. use money,E. car lot
4093,0,John looked for shade but couldn't find any. Where might be be?,shade,A. sunny place,B. summer,C. direct sunlight,D. bright sunshine,E. full sunlight
4094,2,"Sam doesn't like moving his garbage can, so he just leaves it where it can be picked up.  Other people are annoyed by this because  it blocks part of what?",garbage can,A. alley,B. garage,C. street,D. prayer hall,E. kitchen
4095,3,If union workers go off strike it means management did what?,go off strike,A. company closed,B. more money,C. complaints had been addressed,D. demands were met,E. get back to work
4096,4,"He needed to provide, so he was always working, what did he want to accomplish?",working,A. frustration,B. prosperity,C. creation,D. opening a bank account,E. earning money
4097,1,Cats are laying by the refrigerator why do they do that?,cats,A. lie down,B. like heat,C. eating fish,D. drink water,E. come to dinner
4098,0,Where will glue stay usable?,glue,A. closed container,B. art room,C. sticky,D. desk drawer,E. cabinet
4099,0,"After answering questions from the press for hours, what did the police chief feel?",answering questions,A. irritation,B. sadness,C. polite,D. teaching,E. detective
4100,1,"Mal would cover the whole at night, but he always left a what for his cats?",cover,A. underneath,B. opening,C. closing pots and pans,D. medium,E. leave open
4101,1,Where would a marmot feel most confined?,marmot,A. wood pile,B. petting zoo,C. wilderness,D. northern hemisphere,E. mountainous area
4102,3,"Sam reflected on his long life, which started in 1918.  How long has Sam lived?",life,A. graveyard,B. cause death,C. end,D. last 100 years,E. spring forth
4103,4,What place could have thousands or millions of back garden?,back garden,A. suburban neighborhood,B. apartment,C. england,D. house,E. city
4104,2,What could you use a net as?,net,A. fishingboat,B. sewing,C. fishing gear,D. fishing boat,E. soccer game
4105,4,What can prevent a person from being lonely when they are out for coffee?,being lonely,A. socialize,B. meet people,C. enjoy company of friends,D. talk with friends,E. meet friend
4106,4,"John wanted to meet interesting people, but he always drove them away.  He felt that he needed to be more what?",meet interesting people,A. understand themselves,B. socialize,C. take class,D. explore,E. friendly
4107,3,"The child asked what a mammoth was, so his grandpa got a volume of the what out to show the child?",mammoth,A. ancient times,B. excavations,C. south dakota,D. encyclopedia,E. backyard
4108,0,"Sharks can be dangerous to encounter, they can be found in each of the whats?",shark,A. great oceans,B. tropical waters,C. sea world,D. great outdoors,E. lake michigan
4109,0,"John spent hours polishing his tires, because he wanted to take his vehicle where?",tires,A. car show,B. home,C. truck,D. airport,E. repair shop
4110,4,If you have free time and the electricity is out what can you do to entertain yourselves?,free time,A. watch film,B. see favorite show,C. play chess,D. surf net,E. play cards
4111,0,Where are there millions of blowfish?,blowfish,A. atlantic ocean,B. jungle,C. cuba,D. sea water,E. lake
4112,3,"If there is a bird at my window, what is it likely sitting on?",bird,A. cage,B. forest,C. a ledge,D. windowsill,E. countryside
4113,2,What could you make with your voice?,voice,A. silence,B. choir,C. song,D. radio,E. telephone
4114,1,What type of people get books written about them?,books,A. entertaining,B. important,C. written on paper,D. engaging,E. rich people
4115,1,He could never remember the last line of the what he was set to perform?,line,A. transportation system,B. stanza,C. park,D. add information on spreadsheet,E. electromagnetic spectrum
4116,0,What would a christian student do if they are not good at learning?,christian,A. fail,B. believe in jesus christ,C. give up,D. commit sin,E. rebel
4117,1,What must someone do first before changing society?,changing society,A. argue,B. change yourself,C. get angry,D. vote,E. riots
4118,4,"The gifted man had a passion for singing alto, but he also played an instrument in the what?",alto,A. computation,B. choir,C. marching band,D. rock band,E. symphony
4119,0,What  is necessary to have when going fishing?,going fishing,A. fishing rod,B. access to water,C. bate,D. three hands,E. tackle
4120,1,"If people major in computer science, what is a logical career path for them?",people,A. talk to each other,B. write programs,C. choose life,D. play outside,E. believe in god
4121,4,"Everybody learns about germs in school, but if you want an expert talk to a what?",germs,A. spread disease,B. mouth,C. hospital,D. water,E. doctor
4122,4,Where can a person buy a snake?,snake,A. tropical forest,B. walmart,C. north america,D. feild,E. pet shops
4123,3,"If a person bought food from a grocery store, what will they do next?",person,A. will succeed,B. throw away,C. catch cold,D. bring home,E. own property
4124,1,"I need to store my honey, where should it go?",honey,A. stick to fingers,B. jar,C. farmer's market,D. beehive,E. house
4125,2,"The teacher told her students to listen, what did she want from them?",listen,A. able to hear,B. concentrate,C. pay attention,D. stop talking,E. eyes on her
4126,2,What does every person have that makes them feel?,every person,A. mother and father,B. emotions,C. heart,D. name,E. mouth
4127,2,Simon's instructions were not clear.  Claire found them to be what?,clear,A. park,B. invisible,C. confusing,D. obscured,E. misunderstood
4128,4,What gas vehicle uses a chain to move the back wheel?,chain,A. gear shift,B. bicycle,C. car,D. tow truck,E. motorbike
4129,3,What is needed in order to be able to buy presents for others?,buy presents for others,A. generosity,B. spend money,C. earn money,D. have money,E. generous
4130,2,"She was taken aback by his real personality, what were other past boyfriends like to her?",real,A. a figment of her imagination,B. fictitious,C. artificial,D. fiction,E. imaginary
4131,3,What is important for a couple to do?,couple,A. live together,B. row about,C. plan to marry,D. communicate,E. marry each other
4132,1,"The hot weather was unbearable and I needed relief, what did I go to do?",hot weather,A. eat ice cream,B. swim,C. cut hair,D. cool off,E. lemonade
4133,2,In what sort of container should you keep your ficus?,ficus,A. refigerator,B. screened porch,C. clay pot,D. shady places,E. arboretum
4134,1,"Bobby was just having fun when he jumped off of the slide, but that didn't help.  When he landed, he had what?",having fun,A. glee,B. injuries,C. being happy,D. sandwiches,E. pleasure
4135,4,"I was having a bath for 4 hours, what might I suffer from physiologically?",having bath,A. have fun,B. cold,C. get wet,D. being clean,E. wrinkled skin
4136,2,While performing she fell off the stage causing what?,performing,A. action,B. fear,C. injury,D. pride,E. butterflies
4137,3,Where would you expect to see a coach in Europe or South America?,coach,A. play football,B. sporting event,C. at a laundry mat.,D. soccer game,E. hockey game
4138,4,If you are setting up folding chairs before a sermon where are you?,folding chair,A. room,B. school,C. auditorium,D. party,E. church
4139,4,"He was told everybody is beautiful in their own way, however what he saw in the mirror he found what?",beautiful,A. charming,B. grotesque,C. cloudy,D. overcast,E. hideous
4140,2,What would you use to find a company?,company,A. market place,B. internet,C. yellow pages,D. phone book,E. armed forces
4141,0,Beavers are native to the northwest of north american such as what canadian region?,beaver,A. british columbia,B. woodlands,C. wooded area,D. niagara falls,E. body of water
4142,4,"Sam had tickets to the concert hall, but really didn't like to go because it was too loud.  He traded them for tickets to what?",concert hall,A. city,B. university building,C. auditorium,D. commercial building,E. theater
4143,0,"Susan was an ordinatry person, but her skills were not ordinary, they were what?",ordinary,A. exceptional,B. strange,C. spectacular,D. unusual,E. special
4144,3,Where is a marmot likely to live?,marmot,A. outdoors,B. american forest,C. jungle,D. northern climates,E. switzerland
4145,1,The boy loved to surprise his mother by jumping out from hiding and giving her a good what?,surprise,A. laugh,B. scare,C. send flowers,D. keep secret,E. laugh
4146,3,Where would you find bleachers inside?,bleachers,A. soccer,B. sporting event,C. pharmacy,D. gymnasium,E. seat with view
4147,1,"James and Sarah went to the soccer field to spend their time, because it was muddy where they usually go.  Where might they usually go?",soccer field,A. highway,B. playground,C. town,D. mexico,E. outside
4148,3,"If you want the comfort of the familiar, where might you go?",comfort,A. uneasy,B. distress,C. bed,D. home,E. friend's house
4149,0,What cold tall area are you likely to find  a marmoset in?,marmoset,A. mountains,B. rainforest,C. new hampshire,D. latin america,E. trees
4150,1,"He knew of prairie dogs back home but wasn't sure if what he saw was a marmot, but the outback tour guide explained it was during his tour of where?",marmot,A. north america,B. australia,C. desert,D. wilderness,E. switzerland
4151,3,They were under several feet of dirt.  James always found it claustrophobic.  He hated using it.  What did he hate using?,dirt,A. race track,B. street,C. bed,D. subway,E. fishing pole
4152,4,Where might someone have a drink and watch comedy?,drinks,A. dinner,B. cinema,C. bar,D. refrigerator,E. show
4153,0,"They were throwing a surprise party but failed, turned out to the guest of honor it was what?",surprise,A. known already,B. foreshadowed,C. sneaky,D. already knew,E. hiding
4154,0,What could happen to guns if they are wet?,guns,A. misfire,B. explode,C. jam,D. break,E. take life
4155,2,If you're going to buy a house for your family you're about to do what?,buy house,A. make money,B. closet space,C. settle down,D. lose money,E. pay for
4156,4,A product that has been out of stock but is now restocked is what?,scarce,A. plenty,B. empty,C. abundant,D. plentiful,E. available
4157,3,"What should a person feel when doing responsible action with their pet, such as walking a dog?",walking dog,A. sore feet,B. happy,C. tiredness,D. pride,E. excerise
4158,3,Jane thought that the show was entertaining. Watching it brought her  what emotion?,entertaining,A. laughter,B. embarrassment,C. fatigue,D. fulfillment,E. steel
4159,0,What sets escalators apart from stairs?,escalator,A. motion,B. eat cake,C. department store,D. mall,E. bringing people up
4160,3,What is a computer user likely to think a computer crash  is?,computer user,A. own home,B. school,C. work,D. hell,E. house
4161,0,Sam was an alcoholic.  He was in a car crash two years ago and was injured.  Where might he have crashed?,alcoholic,A. bridge,B. park,C. bar,D. prison,E. neighbor's house
4162,0,"Unlike Mars and all its dust, what is full of all sorts of features from soil and rock to water and grass?",dust,A. surface of earth,B. library,C. potato,D. most buildings,E. desktop
4163,3,"The racer got a false start for leaving line early, the official's countdown will now what?",leaving line,A. arguing,B. trouble,C. punishment,D. have to start over,E. further delays
4164,0,What delta state is known for bbq?,bbq,A. louisiana,B. grill,C. backyard,D. restaurant,E. ribs
4165,0,Where are rosebushes typically found outside of large buildings?,rosebush,A. courtyard,B. landscaping,C. mailbox,D. california,E. botanic garden
4166,2,What is the first thing a spouse might do when they get up early?,get up early,A. go to bed early,B. go sleep early,C. ask spouse to wake,D. get to bed early,E. wake up
4167,1,What country is a marmoset from?,marmoset,A. rainforest,B. france,C. trees,D. wilderness,E. mountains
4168,3,In the modern days we give what kind of classification to buildings to protect them from being town down?,modern,A. classical,B. old fashioned,C. vintage,D. historical,E. antique
4169,4,What fruit growing area is not likely to contain an apple tree?,apple tree,A. washington state,B. orchid,C. farmland,D. grape vineyard,E. vineyard
4170,2,The man and the woman chipped the wood for their garden and then did what to it?,wood,A. warp,B. sanded,C. composted,D. petrify,E. feel rough
4171,3,A sloth is often found napping in the branches of what damp region?,sloth,A. nature preserve,B. wilderness,C. forest canopy,D. tropical rainforest,E. florida
4172,0,What can I find that is about 4.5% alcohol?,alcohol,A. beer,B. wine,C. pub,D. uncle joe,E. fraternity house
4173,1,"The heater broke down before the city's Christmas party, so they could no longer host the party in the what?",heater,A. automobile,B. public building,C. house,D. home,E. train
4174,3,"If I want to build a soccer field, but can't find space in a crowded city, where should I look?",soccer field,A. playground,B. beach,C. mexico,D. countryside,E. park
4175,0,Where can I get a drink?,human,A. bar,B. china,C. a brothel,D. theater,E. space shuttle
