,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
7894,lsmdc1035_The_Adjustment_Bureau-85690,3784,"Outside, someone glances aside. At their outdoor table, someone","Outside, someone glances aside.","At their outdoor table, someone",gen,stares with wide eyes.,pulls a bag of wine from his back pocket.,peers in her clear bag dress and answers.,is sprawled on the piano playing.,1
51427,lsmdc0005_Chinatown-48084,253,"He goes out the door, nearly running into a man who is standing by the Secretary's desk, about someone 'age only a head taller and a foot wider, dressed in a plain suit that fits him about as well as a brown paper bag. Someone","He goes out the door, nearly running into a man who is standing by the Secretary's desk, about someone 'age only a head taller and a foot wider, dressed in a plain suit that fits him about as well as a brown paper bag.",Someone,gold,"stares at someone with unblinking eyes, remains by the desk.",sees the tv in the adjoining bedside.,takes the ball from her hand and examines it before releasing it.,sprays a black cloth on a white shirt of an old indian style house beside a black and red extension.,0
40141,anetv_EO9ZKeBSGSw,2062,A ball player is playing hopscotch. The girls,A ball player is playing hopscotch.,The girls,gold,puts the ball back and forth into the basket.,leave with a spin and take off falling by the window.,laugh at each other.,are watching the wheel rapidly.,2
53050,lsmdc1031_Quantum_of_Solace-84422,5518,They are in the sunless steps of the sinkhole. He,They are in the sunless steps of the sinkhole.,He,gold,picks up his typewriter.,runs the marathon through the obstacle course.,"is being a little boy on his horse with his hockey stick, a boy rides and dribbling a ball.",puts his jacket around her shoulders.,3
20844,anetv_CcBPELJaRlk,13672,"For the fifth group, an aerial view is provided and the others way for them to come. After, each group","For the fifth group, an aerial view is provided and the others way for them to come.","After, each group",gen,begins to run and start their routine.,continues explore the city while sitting on the train.,plays an outdoor video before an in number show logo of the white board.,begin to paint different components around the fence and are interspersed to watch fans.,0
39450,lsmdc3069_THE_BOUNTY_HUNTER-5011,15806,Someone hands someone the cell. Someone,Someone hands someone the cell.,Someone,gold,knocks on the door.,watches someone with her captors and hangs up.,puts his old copy in and pours a ingredient into a bottle.,slaps the officers back on the phone.,1
68542,lsmdc1051_Harry_Potter_and_the_goblet_of_fire-6839,9342,"It lashes out angrily, giving someone a vicious blow with its tail. He","It lashes out angrily, giving someone a vicious blow with its tail.",He,gen,eyes the field then releases a chunk of air.,stands pacing as he runs.,jumps to his feet and hits him in the face.,smiles when he sees a tree crunching through the trees.,2
13458,anetv_SdbxPbXeQJ0,12887,He sits up and starts drinking the beer. A person,He sits up and starts drinking the beer.,A person,gen,is drinking and drinking beer.,"is sitting in the chair, drinking a beer.",is mixing indoors playing beer pong.,moves forward on his face.,2
52737,lsmdc3016_CHASING_MAVERICKS-6083,12807,"Someone rounds a corner and stops, gazing past a cliff to the ocean below. Behind him, a boy","Someone rounds a corner and stops, gazing past a cliff to the ocean below.","Behind him, a boy",gold,"plays, his mast bobbing behind him.",bounces a pointed stick.,locates a man standing on a calm stage in a first row of state boats.,smashes a side view mirror with a bat.,3
2657,lsmdc3006_A_GOOD_DAY_TO_DIE_HARD-3168,6034,"Outside, the vehicle parks the tank and someone's men rush towards it. Wearing hazmat suits, her men","Outside, the vehicle parks the tank and someone's men rush towards it.","Wearing hazmat suits, her men",gold,gleefully pick up presents.,try to wrestle them.,move down with flashlights illuminated by clouds.,feed hoses into the vault as others enter with flashlight - mounted spraying devices.,3
58962,lsmdc0020_Raising_Arizona-57935,7128,His hands fly in to wrap around the grenade - too late - bright light. There,His hands fly in to wrap around the grenade - too late - bright light.,There,gold,"and spectators look to the beat, whimpering.",flies over his shoulder to pick her up and shove her to the ground.,is a roar as if the earth were cracking open and flame as if hell were slipping out.,arrives made to the camera.,2
13227,lsmdc3079_THINK_LIKE_A_MAN-36740,2664,"Wide - eyed, someone looks around. Someone's mom","Wide - eyed, someone looks around.",Someone's mom,gold,looks around his dad that someone has.,"glares over her wine glass, taking a long sip.",steps in eagerly by the guy.,follows behind them.,1
55291,lsmdc1052_Harry_Potter_and_the_order_of_phoenix-94830,16491,It becomes an intricate paper bird and flutters its wings. Someone,It becomes an intricate paper bird and flutters its wings.,Someone,gold,takes a swipe at it.,is drawn in front of someone on the edge of an outdoor display.,heaves and lowers his sword.,stares at the house.,0
72283,lsmdc1056_Rambo-97517,9054,"Someone looks back up the road the way he came, then at the farm. With the merest hint of a smile, he","Someone looks back up the road the way he came, then at the farm.","With the merest hint of a smile, he",gold,gets his jacket on the pier as he passes on a sidewalk filled lawn and sits beside him.,begins to walk down the lane towards the farm.,looks down at her.,is brushing through his makeup.,1
35738,anetv_pLcrLi5oAvU,13572,"A hair dresser is cutting a mans hair, starting at the top. Then, he","A hair dresser is cutting a mans hair, starting at the top.","Then, he",gold,puts the cream on her hair and begins irons her hair and puts it up.,starts at the back cut and combing back there.,puts lipstick on his cheek with a towel as he continues to blow dry his hair.,bends down until the slide and discusses his technique.,1
53495,lsmdc3061_SNOW_FLOWER-30014,1702,He takes a deep breath. Someone,He takes a deep breath.,Someone,gen,shifts as she swallows hard.,unleashes the back of his silly opponent.,"grins, then eyes her skeptically.","lowers his gaze, at his brother.",0
4906,anetv_n1yugby5jC0,1998,Girls are seen walking around the beach playing a game of volleyball. The girls,Girls are seen walking around the beach playing a game of volleyball.,The girls,gold,watch on the sidelines while celebrating and cheering with one another.,continue playing while the camera captures them from several angles.,continue bouncing around the field and begin hitting the ball back and fourth.,laugh to one another as they continue to play and walk around.,3
2723,lsmdc0049_Hannah_and_her_sisters-69627,8969,"He holds a long, thin cigarette; he wears a gold Rolex watch. Someone","He holds a long, thin cigarette; he wears a gold Rolex watch.",Someone,gold,raises his cigarette to take a drag.,"stands on the bridge's backs, grinning.",arrives with his bags outside.,"digs out his jacket, calls to the clerk.",0
50706,lsmdc0014_Ist_das_Leben_nicht_schoen-54525,6822,"Someone follows him around, chattering. He","Someone follows him around, chattering.",He,gen,is pulled by a man.,faces his laotong with a defiant expression.,lowers the gun from her face.,turns his head and goes to the door.,3
29349,lsmdc3037_IRON_MAN2-16632,7416,Someone grabs someone and slams his head through a table. Someone,Someone grabs someone and slams his head through a table.,Someone,gold,falls to the floor.,"sits starring at someone, then at spar.",peers toward the door.,"nods and goes to the bathroom, hesitates, and turns back to face the doorway.",0
60725,anetv_l7QlSS_li6M,2079,One girl does a back flip. We then,One girl does a back flip.,We then,gold,see two ending title screen.,see the girl interviewed and ending with her jumping a game of the waist and then changing the brush of her hand.,see see the finished dancer.,see four girls do a back flip together.,3
53325,lsmdc1031_Quantum_of_Solace-84531,9242,He is about to kill them. A burst,He is about to kill them.,A burst,gen,in blackness comes towards the below while tearing it apart.,drops through the tanker.,appears on the stairs.,of bullets hit the road.,3
33196,lsmdc0012_Get_Shorty-53214,10419,One of the voices is familiar. Someone,One of the voices is familiar.,Someone,gold,disappears into the far corridor.,listens at the door.,trips and dances a bit.,"takes him to another bar, but her parents walk up to him.",1
40257,lsmdc3007_A_THOUSAND_WORDS-3690,11783,She puts on an overcoat. Someone,She puts on an overcoat.,Someone,gold,is wrapped in gauze from a chair.,indicates his cuffed hands.,covers his ears as she eats her breakfast.,"takes a pill into his mouth, then turns it on.",1
31981,lsmdc3051_NANNY_MCPHEE_RETURNS-24770,10618,"Someone runs after them, driving them along, holding his safari hat in place with one hand. The steep embankments on either side of the road","Someone runs after them, driving them along, holding his safari hat in place with one hand.",The steep embankments on either side of the road,gold,shows two armed women as he ducks behind a post post.,reflects - by smoke.,"reads, flanked by a dead waste.",help keep the pigs in a group.,3
28326,lsmdc3025_FLIGHT-12087,17803,Cabinets and shelves line one side of the building. Someone,Cabinets and shelves line one side of the building.,Someone,gen,flips through wood he saw.,speeds past a parade of dark cars.,enters the doors of the auditorium and kicks the door shut.,pulls onto the duct line.,2
20462,lsmdc0038_Psycho-67172,15648,"She stares at the papers, turns away, as if what she is fearing would have to be impossible, then, having to satisfy herself, goes to the stand, drops a dime in the iron slot, picks up a los angeles newspaper, starts back into the car lot as she glances worried at the front page. As she goes, we","She stares at the papers, turns away, as if what she is fearing would have to be impossible, then, having to satisfy herself, goes to the stand, drops a dime in the iron slot, picks up a los angeles newspaper, starts back into the car lot as she glances worried at the front page.","As she goes, we",gen,move back into the camera back across the field on her balcony.,see someone eyeing the assigned studying directly in the tracks.,see empty fear and a sweep to the plain of the house.,can't see the car driving toward the revolving cabin door.,0
65432,anetv_hjuvoK5En4s,3815,A man push a kid. A woman,A man push a kid.,A woman,gold,is interviewed while the radio holds and shoots at the camera.,joins in a ski class.,throw a tennis ball across the yard.,walks in the pathway holding a child.,3
10181,lsmdc3013_BURLESQUE-4648,955,She nestles in and pulls her blanket close. Rain,She nestles in and pulls her blanket close.,Rain,gold,whips someone's face.,pounds the street outside.,seeps out of his car.,peers down to see his reflection on the narrow opening door.,1
51553,anetv_V1SEaTS9hos,4027,A man is seen sitting in front of a bucket holding clothes in his hands. Another person,A man is seen sitting in front of a bucket holding clothes in his hands.,Another person,gold,is then seen playing a game with other people speaking to the camera.,is seen sitting next to him sticking his hand in a bucket.,walks into frame and seen performing the piano with the camera panning.,is seen holding a mop and leads into several individuals throwing balls.,1
18379,lsmdc0021_Rear_Window-58379,145,The camera pans down and we now see that the old lady with the hearing aid is leaning over the fence admonishing the dog. The salesman,The camera pans down and we now see that the old lady with the hearing aid is leaning over the fence admonishing the dog.,The salesman,gen,gets mentally at this moment while the lady gives the camera a thumbs up.,"comes in and begins to read, running very fast and bouncing around.","walks off, digging into the bucket and grabbing its rag from the basin.",continues speaking while the camera is held on the side of the hut floor.,2
3543,lsmdc1062_Day_the_Earth_stood_still-100878,6831,They stare at one another. Someone,They stare at one another.,Someone,gen,puts an arm around someone's shoulder and straddles him across the room.,"blinks at her dark honey lashes, then continues on talking.",looks up as the opponent arrives.,stares at it in a fond motion.,2
3247,anetv_1qU2CdUQbw0,4327,A large Buddha statue is shown. A woman,A large Buddha statue is shown.,A woman,gen,walks into a building.,is seen grabbing a bat and swinging around.,is on the dance floor above them.,is sitting down making dinner and holding up a plate.,0
39213,anetv_LlI1IJEkW5E,18876,"She closes the sandwiches, and puts them in a heated panini press. She","She closes the sandwiches, and puts them in a heated panini press.",She,gold,pours a lemon into the holder.,buys snacks and eats.,"removes the sandwiches as they are toasted, and plates them.",rubs her fingers together.,2
53575,lsmdc0023_THE_BUTTERFLY_EFFECT-59614,15994,"He hangs up, someone still pressing her phone to her ear. Someone","He hangs up, someone still pressing her phone to her ear.",Someone,gold,"walks closely behind someone through a corridor, clutching his journals.",starts to walk off.,stares at a handcuff key has just made and she leaves someone's bed completely gone.,looks over to the open window as someone holds the cushion close to her.,0
25976,anetv_yQ2AirKmnTM,9586,"A boy and a girl drive quickly into a wall and are stuck while the girl is very mad about it. The boy and girl that were previous stuck get unstuck, then they",A boy and a girl drive quickly into a wall and are stuck while the girl is very mad about it.,"The boy and girl that were previous stuck get unstuck, then they",gold,drive straight into another wall while the girl yells at the little boy and he cries.,help one girl with a heel.,'re in in a parking lot drinking water.,"stick bicycles and start going around the track, waiting for the camera.",0
22958,lsmdc1062_Day_the_Earth_stood_still-100717,12036,His dark eyes stare at someone. Three military policemen,His dark eyes stare at someone.,Three military policemen,gen,emerge from a stable doorway.,stop holding their hands.,knock his man over.,"stand behind them, awaiting someone and his family.",0
61384,lsmdc3046_LARRY_CROWNE-21551,17123,"As he walks off, someone gives a fearful look. Someone","As he walks off, someone gives a fearful look.",Someone,gen,opens her arms and throws them down her saddle.,throws another flooded deck.,shoots a glance between him and someone.,looks up at him again.,2
8693,lsmdc0011_Gandhi-52590,8144,"She is holding him as he heaves in a spasm of dry retching, his face to the wall. When he is finished, he lies almost limp in her arms and she","She is holding him as he heaves in a spasm of dry retching, his face to the wall.","When he is finished, he lies almost limp in her arms and she",gold,drops him to the floor.,"fights to pull free, but she struggles to maneuver up to the floor.",topples off her bed as she lies on top of him.,gently lowers him to the mat.,3
49142,lsmdc3047_LIFE_OF_PI-22008,6916,Someone attempts to follow them with the drum satchel draped over his shoulder. He,Someone attempts to follow them with the drum satchel draped over his shoulder.,He,gold,"extends his hand, sending it to someone to face him.",runs up and takes another gun.,"exits the market and stops, searching in both directions.",pushes her against the corner.,2
7073,lsmdc0021_Rear_Window-58873,14396,"She breaks out sobbing anew, and returns to her apartment and out of sight, the crying growing fainter with her retreat. He","She breaks out sobbing anew, and returns to her apartment and out of sight, the crying growing fainter with her retreat.",He,gen,"stares, transfixed on his surroundings.",is not afraid of baby car.,runs towards him and snarls wildly.,looks up then sees someone.,0
71248,anetv_agr3ZKq1Iso,19295,The cars turn around and get out of the traffic jam. A boy,The cars turn around and get out of the traffic jam.,A boy,gold,gets inside the car and slams gets into the car.,breaks high in the four rolls.,crashes into the back of a stopped car.,is seen standing in the kitchen watching the timer.,2
28019,anetv_mRbqt5ugQSE,928,Big waves are on the sea and men are surfing. a lot of men,Big waves are on the sea and men are surfing.,a lot of men,gold,are gathered on a field.,are playing beach volleyball on a board.,are in a wavy ocean surfing big waves.,are standing outside together holding hands.,2
10632,lsmdc0005_Chinatown-47977,5721,"He is a slender man in his sixties, who wears glasses and moves with surprising fluidity. He","He is a slender man in his sixties, who wears glasses and moves with surprising fluidity.",He,gold,has never been so much.,"hurls a circle in the air, and ponders.",takes off his invisibility cloak and notices his melee as well.,"turns to a smaller, younger man, and nods.",3
43336,lsmdc1057_Seven_pounds-98079,3306,"Someone's eyes widen, as she looks at someone in awe as the fly wheels turn. Someone","Someone's eyes widen, as she looks at someone in awe as the fly wheels turn.",Someone,gen,stands alone at the front door.,"reopens it, places it across the bear's goggles and turns, surprised.",dives down the tunnel.,regards his father skeptically.,2
10886,anetv_uuH0ieCzqkM,13181,"A kid stands on a court as a group of judges watch him jump rope rapidly. Behind him, other competitors",A kid stands on a court as a group of judges watch him jump rope rapidly.,"Behind him, other competitors",gold,"jump rope, too.",run and sit as far to ensure that they are movements.,stand and crouch off their steppers.,do back flips at the professional water.,0
12294,anetv_RHpigjSwhVM,8858,"A man dressed in a black and white uniform is pushing his bicycle up a small hill. Once he gets to the top of the hill, he",A man dressed in a black and white uniform is pushing his bicycle up a small hill.,"Once he gets to the top of the hill, he",gold,begins painting the top of a large tree.,"mounts it, then spins it, then also stopping from the top at one large mountain.",begins racing his bike throughout a field with several mounds of dirt.,crosses to a rock and begins scraping the snow off of it.,2
61402,anetv_Zd22n1caVgM,12,He puts something in his mouth. He,He puts something in his mouth.,He,gold,"palms it together, then takes her bite of back.",adds a pot of herbs and not non tarts.,kicks his legs up to the side.,gets a bottle of clothed and washes it dry.,2
51461,anetv_gzs6VcYc0OI,11141,An american gymanst and the colt logo appear. A young boy,An american gymanst and the colt logo appear.,A young boy,gold,sits down on a snack machine.,is leaning behind a shirtless man laying down on a couch.,"was circling in pommel horse in a living room, then in a gym with spectators.","is being interviewed with an elderly, holding a helmet in the same blue jump rope.",2
27999,anetv_IgyBIt3GTAU,7205,"The man then takes a small can of wax and puts it on a piece of wood that he is holding in his hand. After dabbing the wax with a white rag, he",The man then takes a small can of wax and puts it on a piece of wood that he is holding in his hand.,"After dabbing the wax with a white rag, he",gold,"removes the garment, putting it on, and tastes it with it.",begins running his fingers over the wood and showing other pieces of wood that the product has been used on.,begins to make the shape closeups with a lot of wax.,shows the wax again wrapped in a parcel.,1
31423,lsmdc3022_DINNER_FOR_SCHMUCKS-10265,9114,"Someone, the ceo, indicates the meeting is over. Someone","Someone, the ceo, indicates the meeting is over.",Someone,gen,opens the door for someone.,"looks out across the room at someone, who hurries into the kitchen.",glances over at the pool table.,"looks at someone, walking down.",1
68707,anetv_BHQasKzBDQU,9547,Referee wearing black and white shirt is standing behind the girls. two hot women are arm wrestling on a table and referees,Referee wearing black and white shirt is standing behind the girls.,two hot women are arm wrestling on a table and referees,gold,are stepping on the pool that have to hold.,are standing in front or sitting in the back.,wearing red bowtie and a red shirt standing in front of the camera with the instructor.,is sitting behind them watching them play.,1
35777,anetv_FIw076A69Oc,2197,A shirtless man is standing on a playground. He,A shirtless man is standing on a playground.,He,gen,puts a box of ribbon on the wall.,moves and circles around a bar.,is using a rake to rake the leaves.,grabs a line and throws his foot.,2
26476,lsmdc3055_PROMETHEUS-26819,15451,Curiously looking on as the alien rotates the chair to face the controls. He,Curiously looking on as the alien rotates the chair to face the controls.,He,gold,sits down and taps its egg on the right.,plugs it into his gears.,"casts the look down and squints at her, then averts her gaze.",picks up a reed - like flute and plays.,3
60180,lsmdc3020_DEAR_JOHN-9959,4912,"With a sober stare, he turns over the Jefferson Mule in his fingers. He","With a sober stare, he turns over the Jefferson Mule in his fingers.",He,gen,opens the passenger door.,climbs out of the cage.,gratefully takes another swig.,strokes his gun over someone's head.,2
10328,anetv_FeWZkO6kZl0,7748,They are engaged in a game of field hockey. They,They are engaged in a game of field hockey.,They,gold,perform the same event on the field.,wait for impact that scores and claps.,run and celebrate when getting a goal.,do several different games of lacrosse and various volleyball do.,2
36637,anetv_cKMGacBQX0E,4699,"He spins and turns around on the beam, performing several gymnastics moves. He then","He spins and turns around on the beam, performing several gymnastics moves.",He then,gold,dismounts perfectly from the beam.,dismounts to adjust the balance beam.,dismounts and lands with the crowd.,"gets up again, and walks away from the audience.",0
40,lsmdc1007_Spider-Man1-74947,16209,"A blade shoots out, but someone is hit by debris. Knocked off balance, someone","A blade shoots out, but someone is hit by debris.","Knocked off balance, someone",gen,jumps again and forces his eyes upward.,crawls away and catches his ankle.,cowers as the rocket studies her.,"shoots another trooper, then aims for more effort.",1
48382,anetv_JfifgnVgJEU,7999,The man puts something in his mouth. The man,The man puts something in his mouth.,The man,gold,smiles at the camera.,laugh as several people talk.,puts the fish in a bottle.,grabs the lime and pokes it in the.,0
25064,lsmdc0007_DIE_NACHT_DES_JAEGERS-49695,10723,"Someone stands in next room, looking at something in his hand. We","Someone stands in next room, looking at something in his hand.",We,gold,shoot into the guzzling glass and puts it into his glass.,see he holds a watch.,takes a bit of beer in his hands.,are on people drinking beer in a great hall.,1
39969,anetv_GOxmnVFdMfY,17178,The people crash into one another while stopping to smile and laugh to the camera. The people,The people crash into one another while stopping to smile and laugh to the camera.,The people,gold,begins taking salutes and ends by showing off the dishes and eating into the distance.,continue dancing together as well as the wood around on the bar and move their arms out and seem to be drinking.,continue bumping into one another and end by getting up and walking out.,continue dancing around several scenes and ends by walking back to men and dancing.,2
3051,anetv_8NfYYT8d3EQ,7311,A text that reads Deeba's Recipe appears on the screen. The video then,A text that reads Deeba's Recipe appears on the screen.,The video then,gold,passes over the night.,cuts to a woman standing behind a table filled with cooking ingredients.,"shows a man how to catch a bowling ball, then it hits a potato.","goes to a lipstick piece, and the woman video taping a new laptop screen.",1
66389,anetv_yeWCfvmeUvM,8557,Four girls are swinging on a swing set. then the girls,Four girls are swinging on a swing set.,then the girls,gold,take turns spinning with the stick.,take turns throwing a frisbee to her hair.,jump and do cartwheels.,swing each other by a rake.,2
339,anetv_VDX1IQnUMgo,3786,"A news anchor is standing behind a table with papers on it talking as a man is picture swimming on the television screen behind him. After, a group of people",A news anchor is standing behind a table with papers on it talking as a man is picture swimming on the television screen behind him.,"After, a group of people",gold,play volleyball while a reporter talks about how to use sporting ping pong in between beach soccer.,are in a pool playing a game of water polo making goals.,"sit side by side, wearing black marks on the ground with their hands falling after them.",walk waving to the screen and a woman inspects the kiss taking pictures of the swimmer.,1
68917,lsmdc3056_PUBLIC_ENEMIES-3539,14212,"Outside, someone waits in the car. More armed agents","Outside, someone waits in the car.",More armed agents,gold,drag themselves through the destroyer's wreckage.,push their force escalator up to a approaching fortress.,exit a building directly in front of him.,sit on the roof of the car.,2
8068,lsmdc1037_The_Curious_Case_Of_Benjamin_Button-86489,15406,He puts the fly - ridden honey pot down and carries the tea glasses and the teapot over to a table. Someone,He puts the fly - ridden honey pot down and carries the tea glasses and the teapot over to a table.,Someone,gold,takes a kiss from his mouth.,takes a seat as someone pours the tea.,lands on the wood.,discreetly his bottle of bourbon from the lighter and buries it in his pockets.,1
59054,lsmdc0023_THE_BUTTERFLY_EFFECT-59357,17259,Someone shakes someone's inhaler and hands it to him when he gets back. Someone,Someone shakes someone's inhaler and hands it to him when he gets back.,Someone,gold,sets down the shovel and turns back toward the house.,dances happy and beat at the radio at the door.,pats someone on the back.,sits on the leg.,2
12880,anetv_QBy64z68s0w,11826,The young girl falls off the beam. The young girl,The young girl falls off the beam.,The young girl,gold,easily approaches the hopscotch rider and is seen in front of the teacher.,flips over and climbs back on her boards.,wearing the blue shirt is complete and the woman then catches a friend talking to the camera.,gets back on the beam and finishes her routine.,3
10873,anetv_gIf0VWXI_DY,18687,"The tattoo artist then appears, talks and then begins shaving a lady's left hand. The artist proceeds to prep for the tattoo and one he removes the outline","The tattoo artist then appears, talks and then begins shaving a lady's left hand.",The artist proceeds to prep for the tattoo and one he removes the outline,gold,on his client's neck and adds his obituary to her piercing.,begins the tattoo on her finger next to her pinky.,cut the hair of the adult.,licked the child's eyes.,1
68741,lsmdc3049_MORNING_GLORY-23469,9902,"In a large, plush apartment, someone and someone make out. He","In a large, plush apartment, someone and someone make out.",He,gold,leans her over a worktop.,stops and stares at him at the front of the car.,attaches a flame to his mouth.,sets up fireworks happily.,0
72961,anetv_4WikrzXQ3Bo,4052,A man and woman are standing on a skating rink. They,A man and woman are standing on a skating rink.,They,gen,walk past a man holding a shuffleboard.,are engaged in a game of foosball.,are engaged in a game of arm wrestling.,are set on a dune leading to their curling equipment playing.,0
34918,lsmdc0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING-60341,4129,"The walls are green and silver, the roof gold and in its midst is the trunk of the might Mallorn tree, now tapering toward its crown. Celeborn","The walls are green and silver, the roof gold and in its midst is the trunk of the might Mallorn tree, now tapering toward its crown.",Celeborn,gold,are decorate flirtatiously with a special color fence.,smashes it against his window and uses the hammer on fire.,steps forward to greet the guests.,"rock's orange and blue light puts up the letter on tall wood surface, looking back on the table, its it travels.",2
17257,anetv_7jGKlEvH_uw,16577,A woman is seen spinning two hoops around her hands while looking back to the camera and speaking. She,A woman is seen spinning two hoops around her hands while looking back to the camera and speaking.,She,gen,moves her hands all around the pole while still spinning and smiling to the camera.,throws a pose while the camera captures her from several angles.,continues brushing her hair while smiling to the camera.,continues leading the dog and ends by pulling her hair up in the end and waving her arms up and wiping her face.,0
58266,anetv_eaI8My4pGq4,9411,Several shots are shown of people riding down a mountain as well as speaking to the camera and hiding under igloos. The camera man,Several shots are shown of people riding down a mountain as well as speaking to the camera and hiding under igloos.,The camera man,gold,shoots a dart in and off and shows others performing different objects in various action shots.,is seen riding down the mountain together and then looks into the camera.,is shown in several shots as well as him riding down the mountain.,is seen riding close up while speaking to the camera as well as sitting around.,2
1386,anetv_9uxkazuxmDw,8790,A large group of people are seen running around a field and cheering with one another. Several clips,A large group of people are seen running around a field and cheering with one another.,Several clips,gold,are also shown of the man throwing and throwing the javelin around himself.,are shown of people running around in slow motion carrying sticks.,are shown of people kicking and falling onto the line.,are shown of lacrosse players scoring goals and celebrating with one another.,3
30998,lsmdc3019_COLOMBIANA-8599,13906,"She slowly opens a door, slips out and shuts it behind her. Creeping stealthily down a hallway, she","She slowly opens a door, slips out and shuts it behind her.","Creeping stealthily down a hallway, she",gen,turns back in bed and rotates through homework.,lies on her stomach.,stops and peers suspiciously inside.,finds someone cluttered someone's belongings.,2
56947,lsmdc0017_Pianist-56427,11256,"He takes a bite of sausage, chewing deliberately, slowly. Someone","He takes a bite of sausage, chewing deliberately, slowly.",Someone,gen,"calls outside, knocking his friends off.",stands up and points his finger at someone's mouth.,waggles his fingertips at the back of his wife head.,presses his lips together thoughtfully.,3
51614,lsmdc1028_No_Reservations-83038,12249,Someone turns back to someone. Someone,Someone turns back to someone.,Someone,gen,goes out through the door.,holds out his hand.,sees the dancers glaring at someone.,closes her eyes and frowns.,1
53675,anetv_TaLEPzEyZ34,13969,"The woman reads a book on a bed and then paint her nails. After, the woman sits on front a computer screen and drinks from a cup, then the girl",The woman reads a book on a bed and then paint her nails.,"After, the woman sits on front a computer screen and drinks from a cup, then the girl",gold,cut off the nail and polish.,uses the paint to.,holds a white flower next to her face.,removes her lower half.,2
65882,lsmdc3082_TITANIC1-38217,14039,"Meanwhile, someone descends the E - deck stairs. She","Meanwhile, someone descends the E - deck stairs.",She,gen,pulls out letter from a floor.,mounts the low beam in the water.,breathes calmly through thick choppy bubbles.,crawls toward someone runs down a stairwell.,1
41105,lsmdc3051_NANNY_MCPHEE_RETURNS-24858,9591,Someone faces someone and the children. He,Someone faces someone and the children.,He,gold,"turns to someone, who then sits on the floor floor.",holds the envelope out to his sister - in - law.,"smiles, grabs the chauffeur's tail, drives over and takes it out of the blazing lights.",collapses over his arms.,1
33369,lsmdc0027_The_Big_Lebowski-62955,6738,Someone turns again as he hears running footsteps. As it roars overhead he,Someone turns again as he hears running footsteps.,As it roars overhead he,gold,dashes on the caged wall.,"ducks, and spins to watch it pass.","slurps on the liquor, displaying hands.",soars through the flames.,1
12407,lsmdc1054_Harry_Potter_and_the_prisoner_of_azkaban-9885,11274,Someone's fingers turn to claws. He,Someone's fingers turn to claws.,He,gold,flips two fingers over his mouth.,spins around and starts to play one musician.,bursts out of his clothes.,holds his hands up at one point.,2
67232,lsmdc1055_Marley_and_me-96472,1909,A yellow taxi arrives at the people 'home. The house,A yellow taxi arrives at the people 'home.,The house,gen,"storms through, thanks for an easy summer.","falls slightly, unflinchingly on its tail.",is considerably dark as usual in the restaurant.,is busy with houses clean.,2
47071,anetv_pc_QYeZG9GA,3250,A little boy is in a messy living room. He,A little boy is in a messy living room.,He,gold,is sitting in a pile of cushions on another table.,picks up a set of tools for chopsticks.,is using an electric toothbrush.,pauses as another boy moves on the equipment.,2
492,lsmdc1003_How_to_Lose_Friends_and_Alienate_People-73263,16608,Someone catches up with him outside the meeting. He,Someone catches up with him outside the meeting.,He,gold,"he now carries a combination tray, later, someone is as police head aged arm in arm, reacting surprised.",gives dark and barren.,"open a door, as someone closes the door.",grins broadly then heads off before turning back heavy - browed.,3
51378,lsmdc0028_The_Crying_Game-63350,6827,She pulls the hood down over him. She,She pulls the hood down over him.,She,gen,leans against the machine.,sees a family arriving up from the curb.,replaces the cap with it.,leads him into the hall.,3
26017,anetv_I9_eKiGZPxc,8773,An inflated boat flips over and the occupants falls overboard. The lady,An inflated boat flips over and the occupants falls overboard.,The lady,gen,pauses to scoop boards in the water with her feet.,waves to the camera and puts a reassuring hand into the air.,gets up women straightens up.,moves around guides dog.,1
819,anetv_kbK-9Me0BnA,16625,A group of women are standing around as one of them is on a camel. The camel,A group of women are standing around as one of them is on a camel.,The camel,gen,brings the man to the camel to sit around for camels.,jumps onto a bridge in front of the camera.,pushes it back and forth and eating it.,is being taken out.,3
6369,anetv_SKdouCRLoKE,8132,A bull runs over and gorges the man several times. Other matadors,A bull runs over and gorges the man several times.,Other matadors,gold,"begin kissing soldiers bathe the bull as they fight, snarling and biting.",are then seen being attacked as a news reporter talks about it.,are shown in his experience taking pictures of him the world.,are sitting in a standing false plate and stands in front of them.,1
45110,lsmdc0007_DIE_NACHT_DES_JAEGERS-49354,5449,He leans back against the wall and talks through laughter. His eyes,He leans back against the wall and talks through laughter.,His eyes,gold,spin around as they struggle to stop him.,glaze under his cards.,are all over the place.,are focused on someone as she gets to her feet.,2
42867,anetv_TgDzZIop_uw,6679,An unseen person demonstrates how to remove and install a tire valve on a tire using a special tool. A pair of hands,An unseen person demonstrates how to remove and install a tire valve on a tire using a special tool.,A pair of hands,gen,folded round the hood of the bike and removed the tire.,move around a car and completes the gliding metal on the train.,is ignition around to wax.,are seen using a tool on top two iron floors.,0
